"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"323","11/09/2019","Wednesday","4","Yel._","male","HA_C1","Control","20","a7475",NA,612.17,1.36062,1.15974,0.0154645,0,0,0,0,1,450,0,0,34,83.84,450,0.428
"324","2/08/2019","Friday","1","Ora.Yel","female","HA_T3","Treatment","16","a7484",NA,452.323,1.00534,1.46219,0.0194976,0,0,0,0,1,450,0,0,31,197.44,450,0.601
"325","19/08/2019","Monday","4","Ora.Yel","female","HA_T3","Treatment","27","a7484",NA,1698.86,3.77592,2.4966,0.0332909,10,40.4,27,81.52,18,328.08,3,2,3,0.24,450,0.601
"326","11/09/2019","Wednesday","2","Ora.Yel","female","HA_T3","Treatment","3","a7484",NA,1218.46,2.70818,1.45031,0.0193392,0,0,4,35.44,5,414.56,0,0,11,1.04,450,0.601
"327","2/08/2019","Friday","4","Ora.Ora","female","HA_C2","Control","5","a7486",NA,579.385,1.28775,0.771852,0.0102923,1,0.32,2,50.32,1,399.36,0,0,46,7.52,450,0.663
"328","19/08/2019","Monday","2","Ora.Ora","female","HA_C2","Control","16","a7486",NA,322.467,0.71672,1.00078,0.0133449,0,0,0,0,1,450,0,0,25,231.84,450,0.663
"329","11/09/2019","Wednesday","2","Ora.Ora","female","HA_C2","Control","13","a7486",NA,58.0393,0.128999,0.404768,0.00539738,0,0,0,0,1,450,0,0,14,401.52,450,0.663
"330","2/08/2019","Friday","1","Ora.Gre","male","HA_C4","Control","19","a7492",NA,42.7012,0.0949085,0.431202,0.00574987,0,0,0,0,1,450,0,0,3,431.76,450,0.357
"331","19/08/2019","Monday","6","Ora.Gre","male","HA_C4","Control","22","a7492",NA,166.877,0.370905,0.693507,0.00924759,0,0,0,0,1,450,0,0,9,318.4,450,0.357
"332","11/09/2019","Wednesday","4","Ora.Gre","male","HA_C4","Control","6","a7492",NA,221.055,0.491321,1.08366,0.0144501,0,0,0,0,1,450,0,0,8,338.88,450,0.357
"333","2/08/2019","Friday","1","Red.Red","female","HA_C3","Control","12","a7497",NA,939.148,2.08737,1.61128,0.0214857,0,0,0,0,1,450,0,0,20,28.48,450,0.557
"334","19/08/2019","Monday","6","Red.Red","female","HA_C3","Control","1","a7497",NA,969.033,2.15379,1.89572,0.0252785,0,0,11,25.76,12,424.24,0,0,16,58,450,0.557
"335","11/09/2019","Wednesday","5","Red.Red","female","HA_C3","Control","26","a7497",NA,1111.96,2.47146,2.30639,0.0307546,6,54.8,11,44.96,6,350.24,2,2,36,29.36,450,0.557
"336","2/08/2019","Friday","2","Ora.Pin","female","HA_C1","Control","25","a7498",NA,357.262,0.794058,1.09016,0.0145368,0,0,0,0,1,450,0,0,16,234,450,0.69
"337","19/08/2019","Monday","6","Ora.Pin","female","HA_C1","Control","8","a7498",NA,710.77,1.57977,1.27664,0.0170233,0,0,0,0,1,450,0,0,34,21.44,450,0.69
"338","11/09/2019","Wednesday","2","Ora.Pin","female","HA_C1","Control","18","a7498",NA,366.244,0.81402,1.3087,0.0174509,0,0,0,0,1,450,0,0,18,275.6,450,0.69
"339","2/08/2019","Friday","5","_.Pin","female","HA_C2","Control","6","a7549",NA,1425.19,3.16765,1.74069,0.0232113,2,12.88,6,29.76,5,407.36,1,1,6,0.48,450,0.668
"340","19/08/2019","Monday","3","_.Pin","female","HA_C2","Control","15","a7549",NA,1588.88,3.53148,2.2103,0.0294732,9,37.28,17,57.2,9,355.52,4,4,12,1.12,450,0.668
"341","11/09/2019","Wednesday","4","_.Pin","female","HA_C2","Control","12","a7549",NA,1503.16,3.34095,1.78027,0.023739,10,59.76,15,64,6,326.24,4,4,4,0.32,450,0.668
"342","2/08/2019","Friday","1","Pin.Pin","female","HA_T1","Treatment","2","a7550",NA,219.264,0.48734,1.06034,0.0141391,0,0,0,0,1,450,0,0,9,346.56,450,0.845
"343","19/08/2019","Monday","1","Pin.Pin","female","HA_T1","Treatment","12","a7550",NA,272.691,0.606088,0.91596,0.0122139,0,0,0,0,1,450,0,0,37,249.44,450,0.845
"344","11/09/2019","Wednesday","4","Pin.Pin","female","HA_T1","Treatment","17","a7550",NA,680.328,1.51211,1.11748,0.0149011,0,0,0,0,1,450,0,0,38,41.2,450,0.845
"345","2/08/2019","Friday","5","Pin.Blu","female","HA_C3","Control","12","a7552",NA,1156.67,2.57084,1.40029,0.0186722,0,0,0,0,1,450,0,0,6,0.72,450,0.603
"346","19/08/2019","Monday","5","Pin.Blu","female","HA_C3","Control","1","a7552",NA,1417.57,3.15071,1.51913,0.0202569,3,37.2,15,86.88,13,325.92,1,0,4,0.32,450,0.603
"347","11/09/2019","Wednesday","6","Pin.Blu","female","HA_C3","Control","25","a7552",NA,1491.82,3.31575,2.04448,0.0272622,9,63.76,15,38.48,6,347.76,6,5,9,1.2,450,0.603
"348","2/08/2019","Friday","3","Pin.Ora","male","HA_C1","Control","24","a7555",NA,886.255,1.96981,1.53844,0.0205143,0,0,0,0,1,450,0,0,25,49.6,450,0.487
"349","19/08/2019","Monday","3","Pin.Ora","male","HA_C1","Control","8","a7555",NA,1494.5,3.3217,1.81012,0.0241371,0,0,7,52.4,7,397.6,0,0,13,3.84,450,0.487
"350","11/09/2019","Wednesday","5","Pin.Ora","male","HA_C1","Control","17","a7555",NA,469.356,1.0432,1.80526,0.0240723,0,0,0,0,1,450,0,0,20,286.88,450,0.487
"351","2/08/2019","Friday","4","Ora.Pin","female","HA_T3","Treatment","15","a7556",NA,1403.76,3.12002,2.59973,0.0346661,7,40.64,16,34.64,10,374.72,6,5,11,5.2,450,0.739
"352","19/08/2019","Monday","5","Ora.Pin","female","HA_T3","Treatment","25","a7556",NA,948.668,2.10853,1.5233,0.0203124,0,0,0,0,1,450,0,0,9,69.76,450,0.739
"353","11/09/2019","Wednesday","1","Ora.Pin","female","HA_T3","Treatment","1","a7556",NA,1243.21,2.76318,1.83988,0.024534,1,5.52,3,13.12,3,431.36,0,1,18,31.44,450,0.739
"354","2/08/2019","Friday","6","Red.Gre","female","HA_T4","Treatment","23","a7562",NA,503.246,1.11852,1.38341,0.0184471,0,0,0,0,1,450,0,0,42,170.24,450,0.517
"355","19/08/2019","Monday","4","Red.Gre","female","HA_T4","Treatment","4","a7562",NA,1526.55,3.39293,1.86609,0.0248835,10,84.16,19,78.4,10,287.44,7,2,7,0.72,450,0.517
