Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Ora.Gre,female,a7061,HA_T4,Treatment,0.243,2.571,0.036762253,,17/05/2019,0,112,
Bla.Pin,male,a7138,HA_T4,Treatment,0.282,2.668,0.039616623,,17/05/2019,0,112,
Whi.Pur,male,a7180,HA_T4,Treatment,0.199,2.51,0.0315868,,17/05/2019,0,112,
Yel.Blu,female,a7214,HA_T4,Treatment,0.277,2.581,0.041581845,,17/05/2019,0,112,
Whi.Bla,female,a7260,HA_T4,Treatment,0.265,2.81,0.033560872,,17/05/2019,0,112,
Gre.Pur,male,a7297,HA_T4,Treatment,0.221,2.392,0.038625127,,17/05/2019,0,112,
Red.Yel,male,a7321,HA_T4,Treatment,0.21,2.28,0.040397045,,17/05/2019,0,112,
Bro.Whi,female,a7358,HA_T4,Treatment,0.179,2.252,0.03529525,,17/05/2019,0,112,Photo: fish is not completely on the photo--> length could be 2 mm longer
Ora.Whi,female,a7409,HA_T4,Treatment,0.326,2.663,0.045970081,,17/05/2019,0,112,
Bro.Ora,female,a7439,HA_T4,Treatment,0.221,2.452,0.036757955,,17/05/2019,0,112,
Ora.Bla,male,a7494,HA_T4,Treatment,0.257,2.587,0.038400799,,17/05/2019,0,112,
Pin._,male,a7548,HA_T4,Treatment,0.114,1.962,0.029614666,,17/05/2019,0,112,
Red.Gre,female,a7562,HA_T4,Treatment,0.23,2.505,0.03665324,,17/05/2019,0,112,
Bla.Gre,female,a7608,HA_T4,Treatment,0.282,2.553,0.043266073,,17/05/2019,0,112,
Whi.Ora,male,a7646,HA_T4,Treatment,0.197,2.362,0.035310709,,17/05/2019,0,112,looks male
Gre.Yel,male,a7682,HA_T4,Treatment,0.217,2.481,0.035253822,,17/05/2019,0,112,
Bro.Yel,male,a7728,HA_T4,Treatment,0.185,2.509,0.029388025,,17/05/2019,0,112,
_.Red,male,a8057,HA_T4,Treatment,0.224,2.641,0.032115243,,17/05/2019,0,112,
Red.Pur,female,a8062,HA_T4,Treatment,0.179,2.319,0.033285228,,17/05/2019,0,112,
Gre.Whi,male,a6833,HA_T5,Treatment,0.198,2.511,0.031403045,,17/05/2019,0,112,
_.Gre,male,a6864,HA_T5,Treatment,0.185,2.455,0.030695078,,17/05/2019,0,112,
Blu.Pin,male,a6882,HA_T5,Treatment,0.241,2.641,0.034552561,,17/05/2019,0,112,
Pur.Bro,female,a6937,HA_T5,Treatment,0.138,2.272,0.026733907,,17/05/2019,0,112,
Gre.Ora,female,a7010,HA_T5,Treatment,0.226,2.496,0.03627599,,17/05/2019,0,112,
Bro._,female,a7050,HA_T5,Treatment,0.237,2.77,0.03088793,,17/05/2019,0,112,
Red.Blu,male,a7092,HA_T5,Treatment,0.213,2.592,0.031703675,,17/05/2019,0,112,
Pin.Bro,male,a7191,HA_T5,Treatment,0.16,2.267,0.031132711,,17/05/2019,0,112,
_.Red,female,a7219,HA_T5,Treatment,0.278,2.689,0.038447065,,17/05/2019,0,112,
Bla.Pin,female,a7253,HA_T5,Treatment,0.221,2.6,0.032692308,,17/05/2019,0,112,
Pin.Yel,male,a7282,HA_T5,Treatment,0.185,2.354,0.033385571,,17/05/2019,0,112,
Red.Pur,male,a7325,HA_T5,Treatment,0.197,2.552,0.030248573,,17/05/2019,0,112,
Ora.Ora,female,a7379,HA_T5,Treatment,0.246,2.531,0.038401732,,17/05/2019,0,112,
Ora.Pur,female,a7405,HA_T5,Treatment,0.322,2.791,0.041336738,,17/05/2019,0,112,
_.Blu,female,a7459,HA_T5,Treatment,0.195,2.381,0.034396624,,17/05/2019,0,112,
_.Ora,male,a7487,HA_T5,Treatment,0.252,2.654,0.03577657,,17/05/2019,0,112,
Pin.Bla,female,a7551,HA_T5,Treatment,0.134,2.229,0.026970231,,17/05/2019,0,112,
Red.Ora,female,a7567,HA_T5,Treatment,0.286,2.91,0.03377381,,17/05/2019,0,112,
Bla.Bro,female,a7605,HA_T5,Treatment,0.299,2.85,0.036811327,,17/05/2019,0,112,
Red.Bla,female,a7663,HA_T5,Treatment,0.241,2.737,0.032171214,,17/05/2019,0,112,
Gre.Bro,male,a7683,HA_T5,Treatment,0.223,2.516,0.035227643,,17/05/2019,0,112,
Pin.Pur,male,a8044,HA_T5,Treatment,0.203,2.543,0.031390867,,17/05/2019,0,112,male
Whi._,female,a8050,HA_T5,Treatment,0.311,2.806,0.039498905,,17/05/2019,0,112,
Pur.Gre,male,a8074,HA_T5,Treatment,0.192,2.453,0.031908481,,17/05/2019,0,112,
Gre.Bro,female,a6834,HA_C1,Control,0.31,2.74,0.041291491,,30/05/2019,2,126,
Gre.Yel,male,a6859,HA_C1,Control,0.299,2.751,0.039508451,,30/05/2019,2,126,
Red.Red,female,a6899,HA_C1,Control,0.391,3.102,0.040634336,,30/05/2019,2,126,
Bla.Red,female,a6923,HA_C1,Control,0.287,2.759,0.037703225,,30/05/2019,2,126,
Red.Pin,male,a6985,HA_C1,Control,0.235,2.72,0.031763625,,30/05/2019,2,126,
Blu.Yel,female,a7002,HA_C1,Control,0.256,2.354,0.046198412,,30/05/2019,2,126,female
Whi._,male,a7070,HA_C1,Control,0.276,2.867,0.033577913,,30/05/2019,2,126,
Bro.Bla,female,a7082,HA_C1,Control,0.377,3.046,0.040633249,,30/05/2019,2,126,
Ora.Bro,male,a7152,HA_C1,Control,0.262,2.86,0.032030906,,30/05/2019,2,126,
Whi.Blu,male,a7179,HA_C1,Control,0.258,2.688,0.035707642,,30/05/2019,2,126,
Red.Whi,female,a7226,HA_C1,Control,0.418,3.061,0.044611787,,30/05/2019,2,126,
Pur.Yel,male,a7272,HA_C1,Control,0.192,2.658,0.027176359,,30/05/2019,2,126,
Pin.Whi,female,a7281,HA_C1,Control,0.338,2.913,0.039832332,,30/05/2019,2,126,
