Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Monday,29/07/2019,C,3,female,Yel.Red,3,1,HA_C1,Control,a8068,NA,1396.63,7.75926,10.9279,24587.9,-,0,25.0394,88.2378,10.6397,13.5997,10.3197,16.4796,5.19987,10.4797,123.757,34.5591,21.6795,179.995,174.796
Novel,Monday,29/07/2019,E,5,female,Bro.Yel,3,2,HA_T1,Treatment,a7087,NA,1724.79,9.5824,14.1491,31835.4,4.1199,8.23979,41.199,41.759,16.7196,17.0396,13.4397,25.6794,6.55984,17.5996,101.357,47.4388,31.1992,179.995,163.356
Novel,Monday,29/07/2019,C,3,male,Ora._,4,1,HA_T1,Treatment,a7155,NA,1519.39,8.44127,18.2066,40964.8,-,0,28.3193,17.1996,21.6795,21.6795,36.3191,25.4394,3.9199,25.4394,63.2784,60.7985,55.9186,179.995,177.516
Novel,Monday,29/07/2019,E,5,female,Bla.Pur,4,2,HA_T1,Treatment,a6925,NA,1746.7,9.70411,21.0351,47329,-,0,12.8797,2.15995,38.159,22.5594,35.1991,20.6395,1.67996,46.7188,27.2793,83.4379,69.2783,179.995,177.756
Novel,Monday,29/07/2019,C,3,male,_.Whi,5,1,HA_T1,Treatment,a7269,NA,1100.91,6.11629,25.6237,57653.2,8.00E-02,0.159996,0,0,19.3595,0.879978,38.159,0.559986,2.39994,118.637,0.479988,49.3588,130.157,179.995,165.756
Novel,Monday,29/07/2019,E,5,male,Ora.Pur,5,2,HA_T1,Treatment,a7062,NA,2047.56,11.3756,19.0191,42793,0.439989,0.879978,23.2794,28.8793,14.7996,15.2796,47.0388,23.1194,7.19982,20.3995,67.2783,44.3189,68.3983,179.995,174.956
Novel,Monday,29/07/2019,C,3,female,_.Pin,6,1,HA_C2,Control,a7549,NA,1078.17,5.98998,9.91793,22315.3,8.00E-02,0.079998,49.3588,74.0781,6.07985,11.0397,6.55984,18.3195,6.55984,7.9998,135.597,25.6794,18.7195,179.995,170.396
Novel,Monday,29/07/2019,E,5,male,Bro.Pur,6,2,HA_C2,Control,a7729,NA,1336.91,7.42746,24.9517,56141.3,1.19997,1.19997,12.5597,3.75991,16.6396,14.3196,59.9985,15.3596,35.0391,22.3194,27.0393,41.919,111.037,179.995,165.596
Novel,Monday,29/07/2019,C,3,male,Whi.Yel,7,1,HA_C2,Control,a7370,NA,1579.45,8.77496,24.93,56092.5,-,0,8.31979,0.879978,17.0396,18.1595,55.9986,18.0795,38.319,23.1994,19.5995,49.6788,110.717,179.995,173.676
Novel,Monday,29/07/2019,E,5,male,Pur._,7,2,HA_C2,Control,a7056,NA,1560.02,8.66697,19.6317,44171.4,-,0,15.8396,30.8792,20.4795,21.5995,27.2793,15.5196,28.3993,19.9995,54.9586,55.8386,69.1983,179.995,176.956
Novel,Monday,29/07/2019,C,3,female,Blu.Ora,8,1,HA_C2,Control,a7204,NA,1628.04,9.04487,26.4628,59541.4,8.00E-02,0.079998,8.71978,2.55994,14.8796,10.7997,64.0784,8.23979,45.8389,24.8794,16.8796,35.6791,127.437,179.995,174.156
Novel,Monday,29/07/2019,E,5,female,Ora.Pur,8,2,HA_T2,Treatment,a8071,NA,1453.56,8.07553,18.9256,42582.6,-,0,21.3595,9.59976,31.9992,32.3192,20.7195,26.0793,5.03987,32.8792,46.5588,84.7979,48.6388,179.995,176.076
Novel,Monday,29/07/2019,E,5,male,Bro.Gre,9,2,HA_T2,Treatment,a7724,NA,1392.16,7.7344,25.3721,57087.2,8.00E-02,0.079998,10.7197,2.15995,18.8795,15.4396,42.5589,17.1196,50.7987,22.3194,23.2794,47.7588,108.957,179.995,161.196
Novel,Monday,29/07/2019,C,3,male,Bro.Blu,10,1,HA_T2,Treatment,a7251,22 Sec Delay,1443.8,8.02132,20.0942,45212.1,-,0,22.3194,4.79988,29.8393,25.5994,33.9192,22.0794,14.4796,26.9593,39.359,74.3981,66.2383,179.995,176.236
Novel,Monday,29/07/2019,E,5,female,Pin.Blu,10,2,HA_T2,Treatment,a7288,NA,644.833,3.58249,33.0119,74276.8,115.517,115.517,0,0,4.87988,3.11992,31.8392,0,130.557,9.59976,0,9.75976,170.236,179.995,61.4385
Novel,Monday,29/07/2019,C,3,female,Pin.Pin,11,1,HA_T2,Treatment,a6840,"RE-RUN, Covers fell down towards end, may exclude (also missing label)",457.994,2.54447,30.5184,68666.4,24.1914,120.957,1.83995,0.159996,2.39994,5.75986,132.157,7.19982,26.0793,4.39989,6.23984,12.0797,161.676,179.995,46.6388
Novel,Tuesday,30/07/2019,C,3,male,Pur._,1,1,HA_C3,Control,a7730,NA,1655.69,9.22722,16.6228,37301.7,8.00E-02,0.079998,31.5192,33.7592,20.5595,19.3595,25.9993,19.1995,7.27982,22.0794,77.6781,54.4786,47.5988,179.756,172.076
Novel,Tuesday,30/07/2019,E,5,female,Red.Pur,1,2,HA_C3,Control,a7093,NA,1535.55,8.53103,22.0247,49555.6,-,0,17.1196,34.7191,6.31984,7.43981,25.9993,14.8796,63.8384,9.67976,61.3585,21.5195,97.1176,179.995,168.876
Novel,Tuesday,30/07/2019,C,3,male,Red.Bro,2,1,HA_C3,Control,a7564,NA,1375.37,7.64115,17.5432,39472.1,1.14664,3.43991,35.1191,23.5994,19.5995,18.3995,34.7991,21.0395,4.0799,23.3594,72.2382,52.3187,55.4386,179.995,163.276
Novel,Tuesday,30/07/2019,E,5,male,Gre._,2,2,HA_C3,Control,a7017,NA,1733.37,9.63007,7.8854,17742.1,-,0,98.7175,55.6786,3.75991,3.03992,3.59991,8.87978,2.39994,3.9199,161.516,9.83975,8.63978,179.995,176.636
Novel,Tuesday,30/07/2019,C,3,female,Gre.Pin,3,1,HA_C3,Control,a7679,NA,1869.5,10.4421,21.3718,47872.8,-,0,18.3995,25.1994,17.6796,13.1197,45.0389,14.5596,27.1993,18.4795,53.5987,41.279,84.7979,179.676,170.556
Novel,Tuesday,30/07/2019,E,5,male,Bla.Blu,3,2,HA_T3,Treatment,a6808,NA,1277.58,7.09785,27.7707,62484,3.4488,31.0392,7.67981,1.59996,11.0397,7.59981,64.0784,9.59976,63.9184,14.4796,15.9996,25.9993,137.997,179.995,123.677
Novel,Tuesday,30/07/2019,C,3,female,Red.Red,4,1,HA_T3,Treatment,a8063,NA,382.964,2.12763,29.4884,66348.8,11.6397,116.397,1.03997,0.479988,4.1599,3.43991,121.597,0.79998,4.87988,43.5989,2.07995,10.2397,167.676,179.995,47.7588
Novel,Tuesday,30/07/2019,E,5,male,Bla.Whi,4,2,HA_T3,Treatment,a7139,NA,1290.34,7.16874,15.8901,35752.7,1.57329,9.43976,22.4794,56.0786,10.3197,24.7994,15.3596,16.1596,22.7194,12.0797,87.6778,45.9189,46.3988,179.995,141.196
Novel,Tuesday,30/07/2019,C,3,male,Red.Pur,5,1,HA_T3,Treatment,a7325,NA,1400.69,7.97314,16.9523,37379.9,0.293326,0.879978,21.7595,55.7586,13.3597,10.7997,27.5193,12.3197,17.5196,19.4395,85.9978,32.3192,60.1585,178.476,152.636
Novel,Tuesday,30/07/2019,E,5,female,Ora.Yel,5,2,HA_T3,Treatment,a7484,NA,3.85703,0.0214285,32.1587,72357.2,179.995,179.995,0,0,0,0,179.995,0,0,0,0,0,179.995,179.995,0
Novel,Tuesday,30/07/2019,C,3,male,Ora.Gre,6,1,HA_C4,Control,a7492,NA,994.792,5.52676,15.169,34130.2,5.34844,37.4391,4.47989,66.0783,15.3596,15.1996,24.6394,21.1195,7.51981,25.5994,85.1179,45.4389,49.4388,179.995,114.877
